YEAR,QUARTER,MONTH,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,TDOMT_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,NALA_COST,NDOM_COST,NDOMT_COST,TDOMT_COST
1999,1,1,19385,Reeve Aleutian Airways Inc.,1,424829.00,0.00,424829.00,49023.00,0.00,49023.00,473852.00,298024.00,0.00,298024.00,46353.00,0.00,46353.00,344377.00
1999,1,1,19386,Northwest Airlines Inc.,3,0.00,92497046.00,92497046.00,0.00,257925.00,257925.00,92754971.00,0.00,39990803.00,39990803.00,0.00,111406.00,111406.00,40102209.00
1999,1,1,19393,Southwest Airlines Co.,3,0.00,72418728.00,72418728.00,0.00,0.00,0.00,72418728.00,0.00,27782355.00,27782355.00,0.00,0.00,0.00,27782355.00
1999,1,1,19678,Aloha Airlines Inc.,2,0.00,3118518.00,3118518.00,0.00,16690.00,16690.00,3135208.00,0.00,1309872.00,1309872.00,0.00,6989.00,6989.00,1316861.00
1999,1,1,19687,Horizon Air,2,0.00,4869372.00,4869372.00,0.00,49186.00,49186.00,4918558.00,0.00,2495567.00,2495567.00,0.00,25208.00,25208.00,2520775.00
1999,1,1,19690,Hawaiian Airlines Inc.,2,0.00,7755383.00,7755383.00,0.00,1148680.00,1148680.00,8904063.00,0.00,3296970.00,3296970.00,0.00,514282.00,514282.00,3811252.00
1999,1,1,19704,Continental Air Lines Inc.,3,0.00,81190000.00,81190000.00,0.00,161000.00,161000.00,81351000.00,0.00,30037000.00,30037000.00,0.00,96000.00,96000.00,30133000.00
1999,1,1,19790,Delta Air Lines Inc.,3,94493.00,177216398.00,177310891.00,0.00,209234.00,209234.00,177520125.00,41661.00,87946600.00,87988261.00,0.00,76138.00,76138.00,88064399.00
1999,1,1,19805,American Airlines Inc.,3,0.00,160875855.00,160875855.00,0.00,563735.00,563735.00,161439590.00,0.00,74765491.00,74765491.00,0.00,205323.00,205323.00,74970814.00
1999,1,1,19874,Air Transport International,2,0.00,0.00,0.00,0.00,37500.00,37500.00,37500.00,0.00,0.00,0.00,0.00,30000.00,30000.00,30000.00
1999,1,1,19898,Emery Worldwide Airlines,2,0.00,0.00,0.00,0.00,16406437.00,16406437.00,16406437.00,0.00,0.00,0.00,0.00,6768065.00,6768065.00,6768065.00
1999,1,1,19917,United Parcel Service,3,0.00,0.00,0.00,48000.00,29129000.00,29177000.00,29177000.00,0.00,0.00,0.00,21000.00,10709000.00,10730000.00,10730000.00
1999,1,1,19930,Alaska Airlines Inc.,3,1942097.00,21220605.00,23162702.00,0.00,87895.00,87895.00,23250597.00,842471.00,8438579.00,9281050.00,0.00,34042.00,34042.00,9315092.00
