YEAR,QUARTER,MONTH,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,TDOMT_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,NALA_COST,NDOM_COST,NDOMT_COST,TDOMT_COST
1997,1,1,19385,Reeve Aleutian Airways Inc.,1,0.00,500597.00,500597.00,0.00,7620.00,7620.00,508217.00,0.00,537049.00,537049.00,0.00,6953.00,6953.00,544002.00
1997,1,1,19386,Northwest Airlines Inc.,3,0.00,96635306.00,96635306.00,0.00,158387.00,158387.00,96793693.00,0.00,72107439.00,72107439.00,0.00,117574.00,117574.00,72225013.00
1997,1,1,19393,Southwest Airlines Co.,3,0.00,64160914.00,64160914.00,0.00,0.00,0.00,64160914.00,0.00,48593938.00,48593938.00,0.00,0.00,0.00,48593938.00
1997,1,1,19678,Aloha Airlines Inc.,2,0.00,3354354.00,3354354.00,0.00,20626.00,20626.00,3374980.00,0.00,2811103.00,2811103.00,0.00,17279.00,17279.00,2828382.00
1997,1,1,19687,Horizon Air,2,0.00,3527566.00,3527566.00,0.00,35632.00,35632.00,3563198.00,0.00,3209393.00,3209393.00,0.00,32418.00,32418.00,3241811.00
1997,1,1,19690,Hawaiian Airlines Inc.,2,0.00,7344731.00,7344731.00,0.00,1128122.00,1128122.00,8472853.00,0.00,5789367.00,5789367.00,0.00,883920.00,883920.00,6673287.00
1997,1,1,19704,Continental Air Lines Inc.,3,0.00,75948000.00,75948000.00,0.00,604000.00,604000.00,76552000.00,0.00,51413000.00,51413000.00,0.00,423000.00,423000.00,51836000.00
1997,1,1,19787,Great American Airways,1,0.00,0.00,0.00,0.00,1544060.00,1544060.00,1544060.00,0.00,0.00,0.00,0.00,1698466.00,1698466.00,1698466.00
1997,1,1,19790,Delta Air Lines Inc.,3,97941.00,173109661.00,173207602.00,0.00,96222.00,96222.00,173303824.00,78751.00,124024509.00,124103260.00,0.00,67632.00,67632.00,124170892.00
1997,1,1,19805,American Airlines Inc.,3,0.00,161678420.00,161678420.00,0.00,538843.00,538843.00,162217263.00,0.00,115147001.00,115147001.00,0.00,397464.00,397464.00,115544465.00
1997,1,1,19874,Air Transport International,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1997,1,1,19898,Emery Worldwide Airlines,2,0.00,0.00,0.00,0.00,11394974.00,11394974.00,11394974.00,0.00,0.00,0.00,0.00,8778094.00,8778094.00,8778094.00
1997,1,1,19917,United Parcel Service,3,0.00,0.00,0.00,0.00,28623940.00,28623940.00,28623940.00,0.00,0.00,0.00,0.00,20705268.00,20705268.00,20705268.00
1997,1,1,19930,Alaska Airlines Inc.,3,1735454.00,18737045.00,20472499.00,75100.00,74225.00,149325.00,20621824.00,1390928.00,14892768.00,16283696.00,60191.00,57651.00,117842.00,16401538.00
1997,1,1,19952,Carnival Air Lines Inc.,2,0.00,5460995.00,5460995.00,0.00,737295.00,737295.00,6198290.00,0.00,4079401.00,4079401.00,0.00,590191.00,590191.00,4669592.00
1997,1,1,19972,Av Atlantic,1,0.00,0.00,0.00,0.00,98446.00,98446.00,98446.00,0.00,0.00,0.00,0.00,77772.00,77772.00,77772.00
