Year,Quarter,Total_Mkt_Fare,depart_city,arrival_city,airlineID,Passengers_by_Carrier,CarriersMktShare,CarrierAvgFare,Carrier_MinFareIncrement,CarrierMinPassangerShare,CarrierMaxFareIncrement,CarrierMaxPassengerShare,depart_state,arrival_state,Avg_TDOMT_COST_carrier,avg_TDOMT_GALLONS_carrier,Monthly Average Temperature_depart,Monthly Total Precepitation_depart,Monthly Average Windspeed_depart,Monthly Average Temperature_arrival,Monthly Total Precepitation_arrival,Monthly Average Windspeed_arrival,distance
2006,3,87.41,93,112,19393,34330,0.59,80.44,75,0.44,125,0.25,33,41,187106555.0,119510165.0,20.3,12.333333333333334,10.866666666666667,20.03333333333333,5.666666666666667,12.466666666666669,287.9961480578845
2006,3,87.41,93,112,19393,34330,0.59,80.44,75,0.44,125,0.25,33,41,187106555.0,119510165.0,20.3,12.333333333333334,10.866666666666667,20.166666666666668,5.666666666666667,7.466666666666668,287.9961480578845
2006,3,87.41,93,112,19393,34330,0.59,80.44,75,0.44,125,0.25,33,41,187106555.0,119510165.0,20.3,12.333333333333334,10.866666666666667,20.03333333333333,5.666666666666667,12.466666666666669,287.9961480578845
1997,4,224.47,16,92,20355,68280,0.92,226.21,75,0.07,400,0.25,17,34,49543666.66666666,84122666.66666667,9.721248370861604,68.75601356942435,12.198810904288525,5.266666666666667,69.66666666666667,12.033333333333331,478.6321125264926
2003,1,234.32,46,123,20355,11770,0.98,234.92,100,0.15,375,0.11,24,7,48838000.0,55356333.333333336,6.966666666666668,107.0,10.533333333333331,2.9000000000000004,102.0,15.133333333333333,247.78309800514776
1998,3,71.25,72,117,19393,75060,0.64,65.54,75,0.99,75,0.99,8,8,32347993.33333333,72197335.33333333,29.0,267.3333333333333,12.033333333333331,28.23333333333333,235.0,9.866666666666664,205.63341679458193
1999,3,235.25,15,32,19977,13710,0.78,239.9,125,0.09,550,0.06,11,5,89063599.0,176325707.33333334,21.7,2.6666666666666665,11.966666666666669,20.2,71.26666666666667,14.966666666666669,642.4585014853889
2006,3,235.98,22,46,19977,12170,0.77,239.12,100,0.05,350,0.08,12,24,251216126.0,112472583.66666669,21.166666666666664,106.0,11.233333333333334,24.802263485578095,126.70255119412417,8.670898389999511,578.8924928067324
2006,3,235.98,22,46,19977,12170,0.77,239.12,100,0.05,350,0.08,12,24,251216126.0,112472583.66666669,21.7,106.0,11.9,24.802263485578095,126.70255119412417,8.670898389999511,578.8924928067324
2006,3,235.98,22,46,19977,12170,0.77,239.12,100,0.05,350,0.08,12,24,251216126.0,112472583.66666669,22.433333333333334,132.83333333333334,12.633333333333333,24.802263485578095,126.70255119412417,8.670898389999511,578.8924928067324
